iso3,year,gdelt_events_Aid/Cooperation,gdelt_events_Conflict/Migration,gdelt_events_Disapproval/Sanction,gdelt_events_Other,gdelt_events_Protest,gdelt_goldstein_Aid/Cooperation,gdelt_goldstein_Conflict/Migration,gdelt_goldstein_Disapproval/Sanction,gdelt_goldstein_Other,gdelt_goldstein_Protest,gdelt_tone_Aid/Cooperation,gdelt_tone_Conflict/Migration,gdelt_tone_Disapproval/Sanction,gdelt_tone_Other,gdelt_tone_Protest,conflict_events,conflict_tone,conflict_goldstein,coop_events,coop_tone,coop_goldstein,conflict_events_d1,conflict_events_d2,coop_events_d1,coop_events_d2,conflict_tone_d1,conflict_tone_d2,coop_tone_d1,coop_tone_d2,conflict_goldstein_d1,conflict_goldstein_d2,coop_goldstein_d1,coop_goldstein_d2,conflict_events_z,conflict_spike_hi,conflict_spike_med,push_multiplier,coop_events_z,pull_multiplier
BRN,2000,2720,218,469,2313,38,3.1044963235294114,-9.759426605504586,-3.0276950959488276,1.5824245568525726,-5.026552631578948,6.078740073529412,4.276059633027523,5.071727078891258,5.425335927367056,4.801394736842106,725,4.818308965517241,-5.1566248275862065,2720,6.078740073529412,3.1044963235294114,,,,,,,,,,,,,-0.9660384739661336,0,0,0.677987175344622,-1.0525465333439712,0.6491511555520095
BRN,2005,5230,457,1096,5335,111,3.0985762906309753,-9.840374179431072,-3.1439790145985396,1.5357851921274603,-5.048522522522522,5.9699181644359465,4.460533916849015,5.321821167883212,5.444318837863168,5.043009009009009,1664,5.066679086538461,-5.110118990384615,5230,5.9699181644359465,3.0985762906309753,939.0,,2510.0,,0.24837012102122014,,-0.10882190909346523,,0.046505837201591405,,-0.005920032898436123,,-0.8607604987577079,0,0,0.7130798337474307,-0.9131302657565009,0.695623244747833
BRN,2010,8132,795,1179,8121,167,2.9445336940482045,-9.672542138364781,-2.997944868532655,1.9645869966752862,-4.802544910179641,6.43683448106247,4.753241509433963,5.424650551314674,6.247160817633296,5.684958083832337,2141,5.195645959831856,-5.617128911723494,8132,6.43683448106247,2.9445336940482045,477.0,1416.0,2902.0,5412.0,0.12896687329339418,0.3773369943146143,0.46691631662652355,0.3580944075330583,-0.507009921338879,-0.4605040841372876,-0.15404259658277075,-0.15996262948120687,-0.8072806327572615,0,0,0.7309064557475795,-0.75194062092031,0.7493531263598967
BRN,2015,27916,4699,5696,34251,1158,2.9310908439604524,-9.786969142370715,-2.9701630969101123,1.4699127616711918,-5.038868739205527,2.6272304771457224,-0.5494967014258351,1.379955231741573,1.2177653499167909,0.46990673575129516,11553,0.5039636458062842,-5.9501451571020505,27916,2.6272304771457224,2.9310908439604524,9412.0,9889.0,19784.0,22686.0,-4.691682314025572,-4.562715440732177,-3.8096040039167476,-3.342687687290224,-0.33301624537855634,-0.8400261667174354,-0.013442850087752145,-0.1674854466705229,0.24796569595594778,0,0,1.082655231985316,0.34694839818348033,1.1156494660611602
BRN,2020,52558,10436,13205,66238,1861,2.902183530575745,-9.694494921425834,-2.9185568345323745,1.0890975572933965,-5.073613648576034,-0.252594695384147,-5.339355021080873,-2.5308960999621357,-1.7729485491711705,-3.179312735088662,25502,-3.7274995294486706,-5.848689789036155,52558,-0.252594695384147,2.902183530575745,13949.0,23361.0,24642.0,44426.0,-4.231463175254955,-8.923145489280525,-2.8798251725298694,-6.689429176446617,0.10145536806589561,-0.23156087731266073,-0.02890731338470731,-0.04235016347245946,1.811887395830635,1,0,1.6039624652768785,1.7156717710481995,1.5718905903493998
BRN,2024,33462,5576,7758,39507,1129,2.936528181220489,-9.746091642754665,-2.969156999226605,0.8054666008555447,-4.899490699734278,0.09012665112665112,-5.143705882352942,-2.4849486981180715,-1.8631235477257198,-3.2676102745792734,14463,-3.5710895388232045,-5.732590195671715,33462,0.09012665112665112,2.936528181220489,-11039.0,2910.0,-19096.0,5546.0,0.15640999062546612,-4.075053184629489,0.34272134651079816,-2.5371038260190715,0.11609959336443954,0.21755496143033515,0.03434465064474379,0.005437337260036479,0.5742265136945197,0,0,1.1914088378981733,0.6549972507891021,1.2183324169297007
CAN,2000,43749,4470,8985,48115,1001,3.124193970147889,-9.7855774049217,-3.0093432387312187,1.679638075444248,-5.161879120879121,5.791329584676221,4.435151901565995,5.248639955481358,5.367920856281825,5.211843156843156,14456,4.994549944659656,-5.253702338129496,43749,5.791329584676221,3.124193970147889,,,,,,,,,,,,,-1.0969206593918805,0,0,0.6343597802027066,-1.0609798007071003,0.6463400664309666
CAN,2005,45525,6988,12206,61505,1816,3.011296430532674,-9.811492987979392,-2.9610508766180565,1.478568490366637,-5.186234030837005,5.954343701263043,4.437124212936463,5.384197689660823,5.551849264287457,5.364443832599118,21010,5.067490290337934,-5.431865825797239,45525,5.954343701263043,3.011296430532674,6554.0,,1776.0,,0.072940345678278,,0.16301411658682152,,-0.17816348766774315,,-0.11289753961521498,,-1.0821929760141809,0,0,0.639269007995273,-1.058943521160159,0.647018826279947
CAN,2010,487459,108036,147970,797136,20040,2.967797281412386,-9.80409880965604,-2.9430824491450966,1.8412144401959014,-4.970825149700598,6.289335295891552,4.4319645488540855,5.421980496046496,5.922751329760542,5.286256437125749,276046,5.02466529129203,-5.775482582613042,487459,6.289335295891552,2.967797281412386,255036.0,261590.0,441934.0,443710.0,-0.0428249990459042,0.030115346632373807,0.3349915946285087,0.4980057112153302,-0.34361675681580284,-0.521780244483546,-0.043499149120288294,-0.15639668873550328,-0.5090941878062112,0,0,0.8303019373979296,-0.5522424145734457,0.8159191951421848
CAN,2015,1425569,276012,420869,2231106,59475,2.9211836291333495,-9.791987301276755,-2.9738606383458985,1.8562344164732647,-4.995037175283733,2.890379281536004,1.0351778908163414,1.8568772539673866,2.313655765346873,1.5900422530474991,756356,1.5360377335540405,-5.6208869738588705,1425569,2.890379281536004,2.9211836291333495,480310.0,735346.0,938110.0,1380044.0,-3.4886275577379897,-3.531452556783894,-3.3989560143555475,-3.063964419727039,0.1545956087541711,-0.18902114806163173,-0.046613652279036355,-0.09011280139932465,0.5702243357127035,0,0,1.1900747785709012,0.523351169762816,1.1744503899209386
