iso3_orig,iso3_dest,year,migrant_stock,migrant_stock_pred,migrant_stock_shock,delta_in_od,delta_out_od,delta_stock_od,model_name,view_type,scenario_name
ERI,IDN,2025,,185.8535625317361,191.77245325761496,5.918890725878897,0.0,5.918890725878897,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_HIGH
ERI,IDN,2025,,185.8535625317361,187.82652610702905,1.9729635752929655,0.0,1.9729635752929655,XGB_OD,SCENARIO,Conflict_internal_HIGH__Conflict_external_LOW
ERI,IDN,2025,,185.8535625317361,185.8535625317361,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_LOW
ERI,IDN,2025,,185.8535625317361,227.28579761288836,41.43223508115224,0.0,41.43223508115224,XGB_OD,SCENARIO,Conflict_internal_LOW__Conflict_external_HIGH
ERI,IDN,2025,,185.8535625317361,199.66430755878685,13.810745027050746,0.0,13.810745027050746,XGB_OD,SCENARIO,Conflict_internal_LOW__Conflict_external_LOW
ERI,IDN,2030,,183.613171745536,,,,,XGB_OD,FORECAST,
ERI,IDN,2035,,184.57086532823865,,,,,XGB_OD,FORECAST,
ETH,IDN,2000,0.0,,,,,,HIST,HIST,
ETH,IDN,2005,0.0,,,,,,HIST,HIST,
ETH,IDN,2010,0.0,,,,,,HIST,HIST,
ETH,IDN,2015,206.0,,,,,,HIST,HIST,
ETH,IDN,2020,173.0,,,,,,HIST,HIST,
ETH,IDN,2024,119.0,,,,,,HIST,HIST,
ETH,IDN,2025,,236.5253722736903,,,,,XGB_OD,FORECAST,
ETH,IDN,2025,,236.5253722736903,246.136358579063,9.610986305372707,0.0,9.610986305372707,XGB_OD,SCENARIO,Aid_HIGH
ETH,IDN,2025,,236.5253722736903,301.74277934586223,65.21740707217197,0.0,65.21740707217197,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,264.67183216799606,28.146459894305792,0.0,28.146459894305792,XGB_OD,SCENARIO,Aid_HIGH__Conflict_external_LOW
ETH,IDN,2025,,236.5253722736903,246.136358579063,9.610986305372707,0.0,9.610986305372707,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH
ETH,IDN,2025,,236.5253722736903,251.69700065574293,15.17162838205264,0.0,15.17162838205264,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,247.9899059379563,11.46453366426602,0.0,11.46453366426602,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW
ETH,IDN,2025,,236.5253722736903,246.136358579063,9.610986305372707,0.0,9.610986305372707,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW
ETH,IDN,2025,,236.5253722736903,285.06085311582245,48.53548084213217,0.0,48.53548084213217,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,259.1111900913162,22.585817817625863,0.0,22.585817817625863,XGB_OD,SCENARIO,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW
ETH,IDN,2025,,236.5253722736903,240.64436640456432,4.118994130874018,0.0,4.118994130874018,XGB_OD,SCENARIO,Aid_LOW
ETH,IDN,2025,,236.5253722736903,288.0127989096155,51.48742663592523,0.0,51.48742663592523,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,256.43384390624806,19.908471632557752,0.0,19.908471632557752,XGB_OD,SCENARIO,Aid_LOW__Conflict_external_LOW
ETH,IDN,2025,,236.5253722736903,240.64436640456432,4.118994130874018,0.0,4.118994130874018,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH
ETH,IDN,2025,,236.5253722736903,245.38120965506943,8.855837381379143,0.0,8.855837381379143,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,242.2233141547327,5.697941881042394,0.0,5.697941881042394,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW
ETH,IDN,2025,,236.5253722736903,240.64436640456432,4.118994130874018,0.0,4.118994130874018,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW
ETH,IDN,2025,,236.5253722736903,273.80226915810016,37.27689688440986,0.0,37.27689688440986,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,251.69700065574293,15.171628382052637,0.0,15.171628382052637,XGB_OD,SCENARIO,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW
ETH,IDN,2025,,236.5253722736903,277.7153135824305,41.18994130874018,0.0,41.18994130874018,XGB_OD,SCENARIO,Conflict_external_HIGH
ETH,IDN,2025,,236.5253722736903,250.25535270993703,13.729980436246729,0.0,13.729980436246729,XGB_OD,SCENARIO,Conflict_external_LOW
ETH,IDN,2025,,236.5253722736903,236.5253722736903,0.0,0.0,0.0,XGB_OD,SCENARIO,Conflict_internal_HIGH
