iso3_orig,iso3_dest,year,migrant_stock_pred,model_name
IDN,SXM,2025,56.63274966588364,XGB_OD
IDN,SXM,2030,56.86996159806536,XGB_OD
IDN,SXM,2035,56.82855700054383,XGB_OD
IDN,SYC,2025,137.2548340935302,XGB_OD
IDN,SYC,2030,137.2548340935302,XGB_OD
IDN,SYC,2035,137.2548340935302,XGB_OD
IDN,TLS,2025,4087.9475782144114,XGB_OD
IDN,TLS,2030,4087.9475782144114,XGB_OD
IDN,TLS,2035,4087.9475782144114,XGB_OD
IDN,TUR,2025,14969.434081521253,XGB_OD
IDN,TUR,2030,14749.699044302133,XGB_OD
IDN,TUR,2035,14889.8384593765,XGB_OD
IDN,VEN,2025,44.91591506755714,XGB_OD
IDN,VEN,2030,44.432292671893066,XGB_OD
IDN,VEN,2035,44.531089402911995,XGB_OD
IND,IDN,2025,23421.422075298542,XGB_OD
IND,IDN,2030,22631.05396781532,XGB_OD
IND,IDN,2035,22543.09944600206,XGB_OD
IND,MYS,2025,128040.03618673481,XGB_OD
IND,MYS,2030,125513.93262856324,XGB_OD
IND,MYS,2035,123986.35174663042,XGB_OD
IND,USA,2025,2717972.877101419,XGB_OD
IND,USA,2030,2717972.877101419,XGB_OD
IND,USA,2035,2717972.877101419,XGB_OD
IRL,USA,2025,127031.25530215168,XGB_OD
IRL,USA,2030,126922.39046471518,XGB_OD
IRL,USA,2035,126922.39046471518,XGB_OD
IRN,IDN,2025,284.4823054868016,XGB_OD
IRN,IDN,2030,300.75882486389713,XGB_OD
IRN,IDN,2035,307.0950045312181,XGB_OD
IRN,MYS,2025,340.06520926140774,XGB_OD
IRN,MYS,2030,336.3983456832382,XGB_OD
IRN,MYS,2035,333.45310055833977,XGB_OD
IRN,USA,2025,414579.4624942944,XGB_OD
IRN,USA,2030,417622.7065336185,XGB_OD
IRN,USA,2035,417622.7065336185,XGB_OD
IRQ,IDN,2025,600.9544453832575,XGB_OD
IRQ,IDN,2030,597.1948918168742,XGB_OD
IRQ,IDN,2035,570.5249197494536,XGB_OD
IRQ,MYS,2025,1019.7274279998844,XGB_OD
IRQ,MYS,2030,1227.0028109302248,XGB_OD
IRQ,MYS,2035,1423.2949108817584,XGB_OD
IRQ,USA,2025,272952.42771097855,XGB_OD
IRQ,USA,2030,283739.59354223404,XGB_OD
IRQ,USA,2035,282713.1892478271,XGB_OD
