iso3,ethnic_group,year,scenario,base_share,shock_share,delta_share,total_pop_interp,delta_count,delta_migrants_2025,delta_in,delta_out
MYS,Other,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,329162.9049999999,386037.7049999999,56874.8
MYS,Other,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-111616.79500000001,59007.60500000001,170624.40000000002
MYS,Other,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-78913.78499999999,91710.61500000003,170624.40000000002
MYS,Other,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,177022.815,233897.615,56874.8
MYS,Other,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,0.0106776629240913,0.010660139965100235,-1.7522958991063602e-05,34656814.73002449,-607.289943275108,445756.2449999999,502631.04499999987,56874.8
MYS,Other,2025,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-51898.25500000002,118726.145,170624.40000000002
MYS,Other,2025,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,0.0106776629240913,0.010625094047118108,-5.256887697319081e-05,34656814.73002449,-1821.8698298253244,-13507.764999999956,157116.63500000007,170624.40000000002
MYS,Other Bumi,2025,Aid_LOW,0.1172994944514699,0.11729953234452743,3.789305754513051e-08,34656814.73002449,1.3132526748957445,42656.1,42656.1,0.0
MYS,Other Bumi,2025,Aid_HIGH,0.1172994944514699,0.11729958286860416,8.841713427197119e-08,34656814.73002449,3.064256241423404,99530.9,99530.9,0.0
MYS,Other Bumi,2025,Conflict_internal_LOW,0.1172994944514699,0.1171069959388686,-0.00019249851260129782,34656814.73002449,-6671.385287028463,-56874.8,0.0,56874.8
MYS,Other Bumi,2025,Conflict_internal_HIGH,0.1172994944514699,0.116721998913666,-0.0005774955378038936,34656814.73002449,-20014.15586108539,-170624.40000000002,0.0,170624.40000000002
MYS,Other Bumi,2025,Conflict_external_LOW,0.1172994944514699,0.11729962076166171,1.2631019181710172e-07,34656814.73002449,4.377508916319149,142187.0,142187.0,0.0
MYS,Other Bumi,2025,Conflict_external_HIGH,0.1172994944514699,0.11729987338204534,3.789305754513051e-07,34656814.73002449,13.132526748957446,426561.0,426561.0,0.0
MYS,Other Bumi,2025,Aid_LOW__Conflict_internal_LOW,0.1172994944514699,0.11710703383192614,-0.00019246061954375268,34656814.73002449,-6670.072034353567,-14218.700000000004,42656.1,56874.8
MYS,Other Bumi,2025,Aid_LOW__Conflict_internal_HIGH,0.1172994944514699,0.11672203680672355,-0.0005774576447463484,34656814.73002449,-20012.842608410494,-127968.30000000002,42656.1,170624.40000000002
MYS,Other Bumi,2025,Aid_HIGH__Conflict_internal_LOW,0.1172994944514699,0.11710708435600287,-0.00019241009546702587,34656814.73002449,-6668.3210307870395,42656.09999999999,99530.9,56874.8
MYS,Other Bumi,2025,Aid_HIGH__Conflict_internal_HIGH,0.1172994944514699,0.11672208733080028,-0.0005774071206696215,34656814.73002449,-20011.091604843965,-71093.50000000003,99530.9,170624.40000000002
MYS,Other Bumi,2025,Aid_LOW__Conflict_external_LOW,0.1172994944514699,0.11729967760124803,1.8314977813479747e-07,34656814.73002449,6.347387928662766,206171.15,206171.15,0.0
MYS,Other Bumi,2025,Aid_LOW__Conflict_external_HIGH,0.1172994944514699,0.11729996811468921,4.7366321931413127e-07,34656814.73002449,16.415658436196804,533201.2499999999,533201.2499999999,0.0
MYS,Other Bumi,2025,Aid_HIGH__Conflict_external_LOW,0.1172994944514699,0.11729975338736312,2.5893589322505845e-07,34656814.73002449,8.973893278454254,291483.35,291483.35,0.0
MYS,Other Bumi,2025,Aid_HIGH__Conflict_external_HIGH,0.1172994944514699,0.11730009442488103,5.999734111312332e-07,34656814.73002449,20.79316735251596,675388.2500000001,675388.2500000001,0.0
MYS,Other Bumi,2025,Conflict_internal_LOW__Conflict_external_LOW,0.1172994944514699,0.11710708435600287,-0.00019241009546702587,34656814.73002449,-6668.3210307870395,42656.09999999999,99530.9,56874.8
MYS,Other Bumi,2025,Conflict_internal_LOW__Conflict_external_HIGH,0.1172994944514699,0.11710726119027141,-0.0001922332611984819,34656814.73002449,-6662.192518304192,241717.89999999997,298592.69999999995,56874.8
MYS,Other Bumi,2025,Conflict_internal_HIGH__Conflict_external_LOW,0.1172994944514699,0.11672201154468519,-0.0005774829067847118,34656814.73002449,-20013.718110193757,-156405.7,14218.700000000013,170624.40000000002
MYS,Other Bumi,2025,Conflict_internal_HIGH__Conflict_external_HIGH,0.1172994944514699,0.11672203680672355,-0.0005774576447463484,34656814.73002449,-20012.842608410494,-127968.29999999999,42656.100000000035,170624.40000000002
MYS,Other Bumi,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_LOW,0.1172994944514699,0.11710713551163056,-0.0001923589398393399,34656814.73002449,-6666.54813967593,100241.835,157116.635,56874.8
MYS,Other Bumi,2025,Aid_LOW__Conflict_internal_LOW__Conflict_external_HIGH,0.1172994944514699,0.11710733887103938,-0.0001921555804305144,34656814.73002449,-6659.500350320656,329162.9049999999,386037.7049999999,56874.8
MYS,Other Bumi,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_LOW,0.1172994944514699,0.1167220513323956,-0.0005774431190742895,34656814.73002449,-20012.339194885117,-111616.79500000001,59007.60500000001,170624.40000000002
MYS,Other Bumi,2025,Aid_LOW__Conflict_internal_HIGH__Conflict_external_HIGH,0.1172994944514699,0.11672208038373973,-0.0005774140677301716,34656814.73002449,-20011.332367834366,-78913.78499999999,91710.61500000003,170624.40000000002
MYS,Other Bumi,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_LOW,0.1172994944514699,0.11710720371913413,-0.0001922907323357587,34656814.73002449,-6664.184284861118,177022.815,233897.615,56874.8
MYS,Other Bumi,2025,Aid_HIGH__Conflict_internal_LOW__Conflict_external_HIGH,0.1172994944514699,0.11710744244539667,-0.00019205200607322434,34656814.73002449,-6655.910793009274,445756.2449999999,502631.04499999987,56874.8
MYS,Other Bumi,2025,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_LOW,0.1172994944514699,0.11672210438267616,-0.0005773900687937262,34656814.73002449,-20010.500641140265,-51898.25500000002,118726.145,170624.40000000002
MYS,Other Bumi,2025,Aid_HIGH__Conflict_internal_HIGH__Conflict_external_HIGH,0.1172994944514699,0.11672213848642796,-0.0005773559650419356,34656814.73002449,-20009.318713732857,-13507.764999999956,157116.63500000007,170624.40000000002
USA,American Indian and Alaska native,2025,Aid_LOW,0.0167794538549485,0.016781149285757222,1.6954308087231163e-06,344775875.6153538,584.5436416227599,414451.575,414451.575,0.0
USA,American Indian and Alaska native,2025,Aid_HIGH,0.0167794538549485,0.016783409860168855,3.956005220353938e-06,344775875.6153538,1363.9351637864395,967053.6749999999,967053.6749999999,0.0
USA,American Indian and Alaska native,2025,Conflict_internal_LOW,0.0167794538549485,0.01675255997375525,-2.689388119324876e-05,344775875.6153538,-9272.361437097637,-552602.1,0.0,552602.1
USA,American Indian and Alaska native,2025,Conflict_internal_HIGH,0.0167794538549485,0.016698772211368753,-8.068164357974631e-05,344775875.6153538,-27817.08431129292,-1657806.3000000003,0.0,1657806.3000000003
USA,American Indian and Alaska native,2025,Conflict_external_LOW,0.0167794538549485,0.016785105290977577,5.6514360290770545e-06,344775875.6153538,1948.4788054091996,1381505.25,1381505.25,0.0
USA,American Indian and Alaska native,2025,Conflict_external_HIGH,0.0167794538549485,0.016796408163035733,1.6954308087231163e-05,344775875.6153538,5845.436416227599,4144515.75,4144515.75,0.0
USA,American Indian and Alaska native,2025,Aid_LOW__Conflict_internal_LOW,0.0167794538549485,0.016754255404563975,-2.5198450384525642e-05,344775875.6153538,-8687.817795474877,-138150.52499999997,414451.575,552602.1
USA,American Indian and Alaska native,2025,Aid_LOW__Conflict_internal_HIGH,0.0167794538549485,0.016700467642177478,-7.898621277102319e-05,344775875.6153538,-27232.54066967016,-1243354.7250000003,414451.575,1657806.3000000003
USA,American Indian and Alaska native,2025,Aid_HIGH__Conflict_internal_LOW,0.0167794538549485,0.016756515978975605,-2.293787597289482e-05,344775875.6153538,-7908.426273311198,414451.57499999995,967053.6749999999,552602.1
USA,American Indian and Alaska native,2025,Aid_HIGH__Conflict_internal_HIGH,0.0167794538549485,0.016702728216589108,-7.672563835939237e-05,344775875.6153538,-26453.149147506483,-690752.6250000003,967053.6749999999,1657806.3000000003
USA,American Indian and Alaska native,2025,Aid_LOW__Conflict_external_LOW,0.0167794538549485,0.01678764843719066,8.194582242161727e-06,344775875.6153538,2825.294267843339,2003182.6125,2003182.6125,0.0
USA,American Indian and Alaska native,2025,Aid_LOW__Conflict_external_HIGH,0.0167794538549485,0.01680064674005754,2.119288510903895e-05,344775875.6153538,7306.795520284497,5180644.687499999,5180644.687499999,0.0
