iso3_orig,iso3_dest,MAE,RMSE,n,model_name
IDN,PNG,563.5371093750036,563.5371093750036,1.0,XGB_OD
IDN,PRK,117.16418457031318,117.16418457031318,1.0,XGB_OD
IDN,PRT,23.69122314453125,23.69122314453125,1.0,XGB_OD
IDN,QAT,5085.019531249971,5085.019531249971,1.0,XGB_OD
IDN,SAU,8714.296874999884,8714.296874999884,1.0,XGB_OD
IDN,SGP,11686.515625000058,11686.515625000058,1.0,XGB_OD
IDN,SLB,8.376731872558565,8.376731872558565,1.0,XGB_OD
IDN,SVK,5.4578323364257955,5.4578323364257955,1.0,XGB_OD
IDN,SVN,5.645263671875,5.645263671875,1.0,XGB_OD
IDN,SXM,8.547740936279268,8.547740936279268,1.0,XGB_OD
IDN,SYC,7.7451629638671875,7.7451629638671875,1.0,XGB_OD
IDN,TLS,30.61767578124727,30.61767578124727,1.0,XGB_OD
IDN,TUR,5746.971679687493,5746.971679687493,1.0,XGB_OD
IDN,VEN,1.1188125610351634,1.1188125610351634,1.0,XGB_OD
IND,IDN,1761.1542968749964,1761.1542968749964,1.0,XGB_OD
IND,MYS,11710.96093749997,11710.96093749997,1.0,XGB_OD
IND,USA,447264.9999999972,447264.9999999972,1.0,XGB_OD
IRL,USA,765.2734374999709,765.2734374999709,1.0,XGB_OD
IRN,IDN,155.93853759765634,155.93853759765634,1.0,XGB_OD
IRN,MYS,58.882812500000114,58.882812500000114,1.0,XGB_OD
IRN,USA,13215.56249999965,13215.56249999965,1.0,XGB_OD
IRQ,IDN,201.25799560546864,201.25799560546864,1.0,XGB_OD
IRQ,MYS,781.6618652343748,781.6618652343748,1.0,XGB_OD
IRQ,USA,15730.640624999884,15730.640624999884,1.0,XGB_OD
ISR,USA,7043.421875000116,7043.421875000116,1.0,XGB_OD
ITA,USA,24693.87499999971,24693.87499999971,1.0,XGB_OD
JAM,USA,9027.562499999185,9027.562499999185,1.0,XGB_OD
JPN,IDN,1035.6240234374945,1035.6240234374945,1.0,XGB_OD
JPN,MYS,55.84082031250182,55.84082031250182,1.0,XGB_OD
JPN,USA,3101.1250000004657,3101.1250000004657,1.0,XGB_OD
KEN,USA,6860.515625,6860.515625,1.0,XGB_OD
KHM,IDN,0.03171461448073387,0.03171461448073387,1.0,XGB_OD
KHM,USA,7574.343750000116,7574.343750000116,1.0,XGB_OD
KOR,IDN,1348.4472656249945,1348.4472656249945,1.0,XGB_OD
KOR,MYS,23.14721679687409,23.14721679687409,1.0,XGB_OD
KOR,USA,28165.250000000466,28165.250000000466,1.0,XGB_OD
LAO,USA,6953.609375000116,6953.609375000116,1.0,XGB_OD
LBN,USA,933.7812500000291,933.7812500000291,1.0,XGB_OD
LKA,IDN,214.2991943359374,214.2991943359374,1.0,XGB_OD
LKA,MYS,606.9843750000009,606.9843750000009,1.0,XGB_OD
MEX,USA,19329.999999981374,19329.999999981374,1.0,XGB_OD
MMR,IDN,994.456176757813,994.456176757813,1.0,XGB_OD
MMR,MYS,10482.812500000058,10482.812500000058,1.0,XGB_OD
MMR,USA,5263.6250000001455,5263.6250000001455,1.0,XGB_OD
MYS,AUS,56063.93749999988,56063.93749999988,1.0,XGB_OD
MYS,BGD,39237.578125000175,39237.578125000175,1.0,XGB_OD
MYS,BGR,1.1749534606933558,1.1749534606933558,1.0,XGB_OD
MYS,BMU,1.7454605102539134,1.7454605102539134,1.0,XGB_OD
MYS,BOL,0.4792709350585955,0.4792709350585955,1.0,XGB_OD
MYS,BRN,4807.753906250015,4807.753906250015,1.0,XGB_OD
MYS,CAN,263.98437499998545,263.98437499998545,1.0,XGB_OD
MYS,CHL,50.789215087890625,50.789215087890625,1.0,XGB_OD
MYS,CHN,3181.8339843750073,3181.8339843750073,1.0,XGB_OD
MYS,CRI,0.3688936233520508,0.3688936233520508,1.0,XGB_OD
MYS,CYM,1.251937866210934,1.251937866210934,1.0,XGB_OD
MYS,CYP,1.7649993896484517,1.7649993896484517,1.0,XGB_OD
MYS,DNK,108.93847656250045,108.93847656250045,1.0,XGB_OD
MYS,DOM,0.4753036499023473,0.4753036499023473,1.0,XGB_OD
MYS,DZA,125.64569091796909,125.64569091796909,1.0,XGB_OD
MYS,EGY,7778.944335937499,7778.944335937499,1.0,XGB_OD
MYS,EST,2.474725723266605,2.474725723266605,1.0,XGB_OD
MYS,FIN,38.310852050781364,38.310852050781364,1.0,XGB_OD
MYS,GBR,956.9140625,956.9140625,1.0,XGB_OD
MYS,GIN,0.01723325438797474,0.01723325438797474,1.0,XGB_OD
MYS,GRC,1.1193161010742472,1.1193161010742472,1.0,XGB_OD
MYS,HKG,317.2207031250109,317.2207031250109,1.0,XGB_OD
MYS,HUN,21.658569335937415,21.658569335937415,1.0,XGB_OD
MYS,IDN,27320.5625,27320.5625,1.0,XGB_OD
MYS,IND,1213.879882812491,1213.879882812491,1.0,XGB_OD
MYS,ISL,5.735420227050753,5.735420227050753,1.0,XGB_OD
MYS,ITA,93.90606689453125,93.90606689453125,1.0,XGB_OD
MYS,JPN,3991.300781249998,3991.300781249998,1.0,XGB_OD
MYS,KHM,18.823898315429688,18.823898315429688,1.0,XGB_OD
MYS,LBY,1563.900390625,1563.900390625,1.0,XGB_OD
MYS,LCA,0.8344879150390607,0.8344879150390607,1.0,XGB_OD
MYS,LIE,0.01353927981108427,0.01353927981108427,1.0,XGB_OD
MYS,LKA,115.58227539062455,115.58227539062455,1.0,XGB_OD
MYS,LTU,0.45867919921875,0.45867919921875,1.0,XGB_OD
MYS,LUX,30.00860595703128,30.00860595703128,1.0,XGB_OD
MYS,LVA,0.12240028381347479,0.12240028381347479,1.0,XGB_OD
MYS,MDV,3.9720382690429403,3.9720382690429403,1.0,XGB_OD
MYS,MLT,12.325714111328125,12.325714111328125,1.0,XGB_OD
MYS,MUS,3.1451339721679616,3.1451339721679616,1.0,XGB_OD
MYS,NOR,126.6270751953125,126.6270751953125,1.0,XGB_OD
MYS,NZL,1516.7226562499818,1516.7226562499818,1.0,XGB_OD
MYS,PAN,0.5801010131835938,0.5801010131835938,1.0,XGB_OD
MYS,PNG,2.0598297119140625,2.0598297119140625,1.0,XGB_OD
MYS,PRK,26.16058349609378,26.16058349609378,1.0,XGB_OD
MYS,PRT,5.115318298339837,5.115318298339837,1.0,XGB_OD
MYS,SGP,83630.49999999953,83630.49999999953,1.0,XGB_OD
MYS,SLB,16.231399536132827,16.231399536132827,1.0,XGB_OD
MYS,SVK,0.5122966766357386,0.5122966766357386,1.0,XGB_OD
MYS,SVN,2.7654895782470685,2.7654895782470685,1.0,XGB_OD
