iso3,year,scenario,ethnic_bucket,migrant_pred_bucket,migrant_shock_bucket,delta_migrants_bucket,delta_in_bucket,delta_out_bucket
ARG,2025,AID_HIGH__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
ARG,2025,AID_HIGH__CONFLICT_INTERNAL_LOW,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ARG,2025,AID_HIGH__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ARG,2025,AID_HIGH__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ARG,2025,AID_LOW,Other,14675.02220908898,14675.02220908898,0.0,0.0,0.0
ARG,2025,AID_LOW__CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,14675.02220908898,0.0,0.0,0.0
ARG,2025,AID_LOW__CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,14675.02220908898,0.0,0.0,0.0
ARG,2025,AID_LOW__CONFLICT_INTERNAL_HIGH,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
ARG,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
ARG,2025,AID_LOW__CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
ARG,2025,AID_LOW__CONFLICT_INTERNAL_LOW,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ARG,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ARG,2025,AID_LOW__CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ARG,2025,CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,14675.02220908898,0.0,0.0,0.0
ARG,2025,CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,14675.02220908898,0.0,0.0,0.0
ARG,2025,CONFLICT_INTERNAL_HIGH,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
ARG,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
ARG,2025,CONFLICT_INTERNAL_HIGH__CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,22154.3490188023,7479.326809713319,0.0,7479.326809713319
ARG,2025,CONFLICT_INTERNAL_LOW,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ARG,2025,CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_HIGH,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ARG,2025,CONFLICT_INTERNAL_LOW__CONFLICT_EXTERNAL_LOW,Other,14675.02220908898,17168.131145660085,2493.1089365711055,0.0,2493.1089365711055
ASM,2025,AID_HIGH,Other,2570.999591924628,2570.999591924628,0.0,0.0,0.0
