iso3,year,ethnic_group,share,model_name,type,total_pop_interp,count
IDN,2035,Madura,0.07632470164342518,ET_BASE,forecast,362089672.8576832,27636386.249028098
IDN,2025,Madura,0.025856225913259485,ET_GDELT,forecast,292774488.82756096,7570043.324764482
IDN,2030,Madura,0.028133169522347394,ET_GDELT,forecast,325592719.3299122,9159955.168150494
IDN,2035,Madura,0.02980028895074277,ET_GDELT,forecast,362089672.8576832,10790376.87723888
IDN,2025,Minangkabau,0.03172538046082651,ET_BASE,forecast,292774488.82756096,9288382.047278373
IDN,2030,Minangkabau,0.05689679025743784,ET_BASE,forecast,325592719.3299122,18525180.66106284
IDN,2035,Minangkabau,0.07657225930535169,ET_BASE,forecast,362089672.8576832,27726024.321848482
IDN,2025,Minangkabau,0.02744121071955738,ET_GDELT,forecast,292774488.82756096,8034086.441227798
IDN,2030,Minangkabau,0.028192368592202928,ET_GDELT,forecast,325592719.3299122,9179229.954286559
IDN,2035,Minangkabau,0.03038358617761509,ET_GDELT,forecast,362089672.8576832,11001582.779295873
IDN,2025,Other,0.2470683233118385,ET_BASE,forecast,292774488.82756096,72335302.06310607
IDN,2030,Other,0.20416774583222325,ET_BASE,forecast,325592719.3299122,66475531.564971924
IDN,2035,Other,0.16982912537647155,ET_BASE,forecast,362089672.8576832,61493372.44927304
IDN,2025,Other,0.253826980027443,ET_GDELT,forecast,292774488.82756096,74314064.32817815
IDN,2030,Other,0.24749204011709922,ET_GDELT,forecast,325592719.3299122,80581606.35423405
IDN,2035,Other,0.23990596049782273,ET_GDELT,forecast,362089672.8576832,86867470.75326489
IDN,2025,"Sunda, Priangan",0.15188308985232346,ET_BASE,forecast,292774488.82756096,44467493.993064515
IDN,2030,"Sunda, Priangan",0.12557512181005034,ET_BASE,forecast,325592719.3299122,40886345.390319265
IDN,2035,"Sunda, Priangan",0.10557152008831773,ET_BASE,forecast,362089672.8576832,38226357.171867296
IDN,2025,"Sunda, Priangan",0.1565568841708752,ET_GDELT,forecast,292774488.82756096,45835861.73556366
IDN,2030,"Sunda, Priangan",0.15725558124062564,ET_GDELT,forecast,325592719.3299122,51201272.32594123
IDN,2035,"Sunda, Priangan",0.1593824380047514,ET_GDELT,forecast,362089672.8576832,57710734.83640041
MYS,2025,Chinese,0.20241260362789962,ET_BASE,forecast,34656814.73002449,7014976.102953999
MYS,2030,Chinese,0.18534203960055853,ET_BASE,forecast,37270794.29241125,6907845.031688359
MYS,2035,Chinese,0.16792740996015118,ET_BASE,forecast,40081932.457104765,6730855.103719322
MYS,2025,Chinese,0.20448715479728,ET_GDELT,forecast,34656814.73002449,7086873.438479172
MYS,2030,Chinese,0.20040226266216504,ET_GDELT,forecast,37270794.29241125,7469151.50741532
MYS,2035,Chinese,0.19401664251687786,ET_GDELT,forecast,40081932.457104765,7776561.960915739
MYS,2025,Indian,0.06251241947816347,ET_BASE,forecast,34656814.73002449,2166481.3401802853
MYS,2030,Indian,0.0816633099925087,ET_BASE,forecast,37270794.29241125,3043656.427968205
MYS,2035,Indian,0.10033962939778206,ET_BASE,forecast,40081932.457104765,4021806.2482928243
MYS,2025,Indian,0.059706580199516315,ET_GDELT,forecast,34656814.73002449,2069239.8881379857
MYS,2030,Indian,0.059856641453657024,ET_GDELT,forecast,37270794.29241125,2230904.5706538665
MYS,2035,Indian,0.05972117756304854,ET_GDELT,forecast,40081932.457104765,2393740.205340872
MYS,2025,Malay,0.5148221738398489,ET_BASE,forecast,34656814.73002449,17842096.6976761
MYS,2030,Malay,0.46864641946572505,ET_BASE,forecast,37270794.29241125,17466824.295782115
MYS,2035,Malay,0.42020160923556066,ET_BASE,forecast,40081932.457104765,16842492.51974647
MYS,2025,Malay,0.5214439217017985,ET_GDELT,forecast,34656814.73002449,18071585.38651663
MYS,2030,Malay,0.5201720202002944,ET_GDELT,forecast,37270794.29241125,19387224.36155316
MYS,2035,Malay,0.5173744139440051,ET_GDELT,forecast,40081932.457104765,20737366.314737774
MYS,2025,Non-Malaysian citizens,0.09227564567852674,ET_BASE,forecast,34656814.73002449,3197979.956374086
MYS,2030,Non-Malaysian citizens,0.09913712712359134,ET_BASE,forecast,37270794.29241125,3694919.4717639973
MYS,2035,Non-Malaysian citizens,0.10776286832377609,ET_BASE,forecast,40081932.457104765,4319344.009537468
MYS,2025,Non-Malaysian citizens,0.09165456878327138,ET_GDELT,forecast,34656814.73002449,3176455.409482123
MYS,2030,Non-Malaysian citizens,0.09682916057722729,ET_GDELT,forecast,37270794.29241125,3608899.7253806945
MYS,2035,Non-Malaysian citizens,0.10620911356789214,ET_GDELT,forecast,40081932.457104765,4257066.516357223
MYS,2025,Other,0.01067766292409139,ET_BASE,forecast,34656814.73002449,370053.7857098868
MYS,2030,Other,0.050332350879456846,ET_BASE,forecast,37270794.29241125,1875926.695881701
MYS,2035,Other,0.08811698995508703,ET_BASE,forecast,40081932.457104765,3531899.2397031775
MYS,2025,Other,0.004858339704874555,ET_GDELT,forecast,34656814.73002449,168374.57904735932
MYS,2030,Other,0.004905655607956489,ET_GDELT,forecast,37270794.29241125,182837.68103355993
MYS,2035,Other,0.004967758315963954,ET_GDELT,forecast,40081932.457104765,199117.3532836877
MYS,2025,Other Bumi,0.11729949445146995,ET_BASE,forecast,34656814.73002449,4065226.847130129
MYS,2030,Other Bumi,0.11487875293815943,ET_BASE,forecast,37270794.29241125,4281622.369326876
MYS,2035,Other Bumi,0.11565149312764302,ET_BASE,forecast,40081932.457104765,4635535.336105503
MYS,2025,Other Bumi,0.11784943481325905,ET_GDELT,forecast,34656814.73002449,4084286.028361217
MYS,2030,Other Bumi,0.11783425949869987,ET_GDELT,forecast,37270794.29241125,4391776.446374648
MYS,2035,Other Bumi,0.11771089409221254,ET_GDELT,forecast,40081932.457104765,4718080.106469476
USA,2025,American Indian and Alaska native,0.016779453854948514,ET_BASE,forecast,344775875.6153538,5785150.895187298
USA,2030,American Indian and Alaska native,0.050625589741106584,ET_BASE,forecast,357819682.006239,18114832.422541074
USA,2035,American Indian and Alaska native,0.07937632676858139,ET_BASE,forecast,371356970.96709573,29476952.275274783
USA,2025,American Indian and Alaska native,0.01161126481674091,ET_GDELT,forecast,344775875.6153538,4003283.994193599
USA,2030,American Indian and Alaska native,0.012441814172146352,ET_GDELT,forecast,357819682.006239,4451925.990658125
