iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
HND,USA,2000,266664.0,31369527.0,266664.0,0.008500733849126894,1.0
HND,USA,2005,394260.0,35533585.0,394260.0,0.011095418601866375,1.0
HND,USA,2010,509973.0,39769676.0,509973.0,0.01282316204939663,1.0
HND,USA,2015,621409.0,43278121.0,621409.0,0.014358502301890601,1.0
HND,USA,2020,775889.0,45295697.0,775889.0,0.01712941960027682,1.0
HND,USA,2024,934727.0,48694117.0,934727.0,0.019195891774770244,1.0
HTI,USA,2000,432213.0,31369527.0,432213.0,0.013778116577913337,1.0
HTI,USA,2005,491199.0,35533585.0,491199.0,0.01382351372652098,1.0
HTI,USA,2010,599162.0,39769676.0,599162.0,0.015065800385198008,1.0
HTI,USA,2015,686053.0,43278121.0,686053.0,0.015852190070821236,1.0
HTI,USA,2020,732899.0,45295697.0,732899.0,0.016180322824042203,1.0
HTI,USA,2024,798232.0,48694117.0,798232.0,0.01639278108277433,1.0
IDN,ARE,2000,91456.0,96902.0,2187871.0,0.9437988895998018,0.041801367630906944
IDN,ARE,2005,119309.0,125483.0,2470619.0,0.950798116079469,0.04829113675560659
IDN,ARE,2010,199195.0,208956.0,3106885.0,0.9532868163632535,0.06411405636191878
IDN,ARE,2015,250877.0,263170.0,3351461.0,0.953288748717559,0.07485601055778361
IDN,ARE,2020,262762.0,275636.0,3546661.0,0.9532934740019446,0.07408714844751162
IDN,ARE,2024,298351.0,312969.0,3856982.0,0.953292498618074,0.07735348518608591
IDN,AUS,2000,116837.0,430452.0,2187871.0,0.2714286378039828,0.05340214299654779
IDN,AUS,2005,125139.0,500775.0,2470619.0,0.24989066946233338,0.05065086927608021
IDN,AUS,2010,146982.0,613916.0,3106885.0,0.23941711895438464,0.0473084777840184
IDN,AUS,2015,159692.0,699822.0,3351461.0,0.22818945388970338,0.04764847330761122
IDN,AUS,2020,193893.0,824942.0,3546661.0,0.23503834208950447,0.054669166294720586
IDN,AUS,2024,216949.0,863844.0,3856982.0,0.2511437250244257,0.056248382802927266
IDN,BEL,2000,2747.0,16597.0,2187871.0,0.16551183948906428,0.001255558485852228
IDN,BEL,2005,3008.0,17252.0,2470619.0,0.17435659633665662,0.0012175086486423039
IDN,BEL,2010,3270.0,18666.0,3106885.0,0.1751848280295725,0.0010525011386002378
