iso3,year,ethnic_group,value_interp,share_interp,total_pop_interp
AUS,2000,Trinidad and Tobago,358,1.5692865891661186e-05,22812914.0
AUS,2000,Tunisian,258,1.1309383799018397e-05,22812914.0
AUS,2000,Turkish,54595,0.002393162048478331,22812914.0
AUS,2000,Turkmenian,268,1.1747893659638218e-05,22812914.0
AUS,2000,Tuvaluan,298,1.3044483929765512e-05,22812914.0
AUS,2000,Ugandan,339,1.4860004294059057e-05,22812914.0
AUS,2000,Uighur,269,1.17871842738845e-05,22812914.0
AUS,2000,Ukrainian,33958,0.0014885428490196387,22812914.0
AUS,2000,Uruguayan,5195,0.00022772189471279293,22812914.0
AUS,2000,Uzbek,159,6.969736527302036e-06,22812914.0
AUS,2000,Venezuelan,448,1.9637999775039698e-05,22812914.0
AUS,2000,Vietnamese,156580,0.00686365626066008,22812914.0
AUS,2000,Vlach,68,2.9860866827174063e-06,22812914.0
AUS,2000,Walloon,13,5.698526720435627e-07,22812914.0
AUS,2000,Welsh,84246,0.003692908323767845,22812914.0
AUS,2000,"Western European, nec (incl. Alsatian, Frisian, Luxembourgish)",7919,0.0003471279469163825,22812914.0
AUS,2000,"Western European, nfd",69,3.024602643923525e-06,22812914.0
AUS,2000,Yazidi,15,6.409737057202545e-07,22812914.0
AUS,2000,Yemeni,281,1.2297962259086161e-05,22812914.0
AUS,2000,Yoruba,103,4.5149865554220736e-06,22812914.0
AUS,2000,Zambian,328,1.4377821263868351e-05,22812914.0
AUS,2000,Zimbabwean,2895,0.00012690180658200877,22812914.0
AUS,2000,Zulu,239,1.0490594003757204e-05,22812914.0
AUS,2005,Acehnese,71,2.946796068471125e-06,24132142.5
AUS,2005,Acholi,116,4.8229789869236175e-06,24132142.5
AUS,2005,Afgan,15767,0.0006533452215162147,24132142.5
AUS,2005,African American,1490,6.174329870934287e-05,24132142.5
AUS,2005,"African, so described",12669,0.0005250011875588156,24132142.5
AUS,2005,Afrikaner,2306,9.555977548798052e-05,24132142.5
AUS,2005,Akan,147,6.096751722618752e-06,24132142.5
AUS,2005,Albanian,10895,0.0004514596381083837,24132142.5
AUS,2005,Algerian,793,3.287635817185424e-05,24132142.5
AUS,2005,American,50087,0.00207553394901853,24132142.5
AUS,2005,Amhara,137,5.657848451464559e-06,24132142.5
AUS,2005,Anglo-Burmese,772,3.200357007243814e-05,24132142.5
AUS,2005,Anglo-Indian,12720,0.000527077600029351,24132142.5
AUS,2005,Angolan,129,5.32750901853867e-06,24132142.5
AUS,2005,"Arab, nec (incl. Baggara, Bedouin, Yemeni)",709,2.9370792417094956e-05,24132142.5
AUS,2005,"Arab, nfd",17842,0.0007393661489370124,24132142.5
AUS,2005,Argentinean,7676,0.0003180906064458947,24132142.5
AUS,2005,Armenian,15242,0.0006316204960207664,24132142.5
AUS,2005,"Asian, so described",3804,0.00015763394435608203,24132142.5
AUS,2005,Assyrian/ Chaldean,21491,0.0008905579253731639,24132142.5
AUS,2005,Australian,7059525,0.2925361749458474,24132142.5
AUS,2005,Australian Aboriginal,104872,0.004345729838023593,24132142.5
AUS,2005,Australian South Sea Islander,3763,0.00015592427799455033,24132142.5
AUS,2005,"Australian peoples, nfd",54,2.239565012038055e-06,24132142.5
AUS,2005,Austrian,39828,0.0016504001401131231,24132142.5
AUS,2005,Azeris,279,1.1551440588406809e-05,24132142.5
AUS,2005,Bahraini,98,4.072737811179944e-06,24132142.5
AUS,2005,Balinese,490,2.031324756532762e-05,24132142.5
AUS,2005,Bangladeshi,21649,0.0008971098173380665,24132142.5
AUS,2005,Barbadian,268,1.1119243831697712e-05,24132142.5
AUS,2005,Bari,71,2.929513162427679e-06,24132142.5
AUS,2005,Basque,497,2.0578615503918326e-05,24132142.5
AUS,2005,Batswana,421,1.744503272534906e-05,24132142.5
AUS,2005,Belarus,1468,6.084887073040852e-05,24132142.5
AUS,2005,Belgian,8435,0.0003495293043349217,24132142.5
AUS,2005,Bengali,13256,0.0005492884107900884,24132142.5
AUS,2005,Berber,99,4.115512663986641e-06,24132142.5
AUS,2005,Bermudian,214,8.879678819659657e-06,24132142.5
AUS,2005,Bhutanese,2257,9.353006657604468e-05,24132142.5
AUS,2005,Bolivian,527,2.1820149201891305e-05,24132142.5
AUS,2005,Bosnian,18269,0.0007570274370582314,24132142.5
AUS,2005,Brazil,5139,0.00021296388969165565,24132142.5
AUS,2005,Breton,63,2.630089255585674e-06,24132142.5
AUS,2005,British NEC,214,8.859991027830054e-06,24132142.5
AUS,2005,"British, nec (incl. Channel Islander, Guernsey Islander, Manx)",1255,5.201561141987197e-05,24132142.5
AUS,2005,"British, nfd",8912,0.00036930990199303274,24132142.5
AUS,2005,Bruneian,224,9.272584962122473e-06,24132142.5
AUS,2005,Bulgarian,4532,0.00018781557261491488,24132142.5
AUS,2005,Burgher,975,4.039641185965182e-05,24132142.5
AUS,2005,Burmese,12137,0.0005029437268300055,24132142.5
AUS,2005,Burundian,2262,9.374442119768573e-05,24132142.5
AUS,2005,Cameroonian,181,7.502411757436739e-06,24132142.5
AUS,2005,Canadian,24104,0.0009988447262108675,24132142.5
AUS,2005,"Caribbean, nfd",1862,7.717526004341573e-05,24132142.5
AUS,2005,"Carribbean Islander, nec (incl.Bahamian, Haitian, Puerto Rican)",646,2.678872383249313e-05,24132142.5
AUS,2005,Catalan,111,4.589272138282093e-06,24132142.5
AUS,2005,"Caucasian, so described",174,7.190182407069544e-06,24132142.5
AUS,2005,"Central American, nec (incl. Belizean, Costa Rican, Mayan)",588,2.435018508483599e-05,24132142.5
AUS,2005,"Central American, nfd",397,1.646110826753657e-05,24132142.5
